category,scenario,utt_idx,speaker_id,sr,time_stretch_factor,gain_db,pitch_shift_semitones,speaker_has_real,speaker_real_snr_db,speaker_has_env,speaker_env_snr_db,speaker_env_src_category,speaker_has_hiss,speaker_hiss_snr_db
Collision,scenario_10_a,0,1,24000,1.0,-0.899882726523523,0.4729424283280248,True,23.180498006225246,False,,,True,16.405428597923887
Collision,scenario_10_a,1,2,24000,0.9586356562814186,0.0,0.0,True,25.568577543223853,True,26.59602511183038,rain,False,
Collision,scenario_10_a,2,1,24000,1.0,-0.899882726523523,0.4729424283280248,True,23.180498006225246,False,,,True,16.405428597923887
Collision,scenario_10_a,3,3,24000,1.0,0.0,-0.6800359965550995,True,15.952915592279357,True,22.936715176487056,engine,False,
Collision,scenario_10_a,4,1,24000,1.0,-0.899882726523523,0.4729424283280248,True,23.180498006225246,False,,,True,16.405428597923887
Collision,scenario_10_a,5,2,24000,0.9586356562814186,0.0,0.0,True,25.568577543223853,True,26.59602511183038,rain,False,
Collision,scenario_10_a,6,3,24000,1.0,0.0,-0.6800359965550995,True,15.952915592279357,True,22.936715176487056,engine,False,
Collision,scenario_10_b,0,1,24000,1.0,-0.10810822822162525,0.0,True,21.465767736095664,True,27.957551225544048,engine,True,24.801832323986872
Collision,scenario_10_b,1,2,24000,1.0,-0.05743549819712612,-0.19791941490109477,True,15.032330675271396,True,19.278738434203802,sea_waves,True,25.95757976123199
Collision,scenario_10_b,2,1,24000,1.0,-0.10810822822162525,0.0,True,21.465767736095664,True,27.957551225544048,engine,True,24.801832323986872
Collision,scenario_10_b,3,3,24000,1.0,0.0,0.667489909279614,True,29.75779965377223,False,,,True,25.017948055688755
Collision,scenario_10_b,4,1,24000,1.0,-0.10810822822162525,0.0,True,21.465767736095664,True,27.957551225544048,engine,True,24.801832323986872
Collision,scenario_10_b,5,2,24000,1.0,-0.05743549819712612,-0.19791941490109477,True,15.032330675271396,True,19.278738434203802,sea_waves,True,25.95757976123199
Collision,scenario_10_b,6,3,24000,1.0,0.0,0.667489909279614,True,29.75779965377223,False,,,True,25.017948055688755
Collision,scenario_10_c,0,1,24000,0.9840892667545816,0.0,0.0,False,,False,,,True,23.219058197035473
Collision,scenario_10_c,1,2,24000,1.0,0.0,0.39270850098100984,True,17.213570176369473,False,,,False,
Collision,scenario_10_c,2,1,24000,0.9840892667545816,0.0,0.0,False,,False,,,True,23.219058197035473
Collision,scenario_10_c,3,3,24000,1.0,0.0,0.0,True,26.48391864177104,True,29.141124861511454,thunderstorm,True,20.849799720955783
Collision,scenario_10_c,4,1,24000,0.9840892667545816,0.0,0.0,False,,False,,,True,23.219058197035473
Collision,scenario_10_c,5,2,24000,1.0,0.0,0.39270850098100984,True,17.213570176369473,False,,,False,
Collision,scenario_10_c,6,3,24000,1.0,0.0,0.0,True,26.48391864177104,True,29.141124861511454,thunderstorm,True,20.849799720955783
Collision,scenario_1_a,0,1,24000,1.0763262368005544,-0.14116613358707308,0.0,True,22.41459755423883,True,18.181797752696085,wind,False,
Collision,scenario_1_a,1,2,24000,1.0,0.0,0.0,False,,False,,,True,21.80617894279768
Collision,scenario_1_a,2,1,24000,1.0763262368005544,-0.14116613358707308,0.0,True,22.41459755423883,True,18.181797752696085,wind,False,
Collision,scenario_1_a,3,3,24000,1.0,0.0,0.04514507026043568,True,19.46029698776081,False,,,True,23.529442059363497
Collision,scenario_1_a,4,1,24000,1.0763262368005544,-0.14116613358707308,0.0,True,22.41459755423883,True,18.181797752696085,wind,False,
Collision,scenario_1_a,5,2,24000,1.0,0.0,0.0,False,,False,,,True,21.80617894279768
Collision,scenario_1_a,6,3,24000,1.0,0.0,0.04514507026043568,True,19.46029698776081,False,,,True,23.529442059363497
Collision,scenario_1_b,0,1,24000,1.0,0.0,0.9462936316433888,True,25.646742376503887,True,23.283771135805996,wind,True,29.883857090928295
Collision,scenario_1_b,1,2,24000,1.0,0.0,0.07716115540774737,True,26.44309016429969,True,28.044025248511026,thunderstorm,False,
Collision,scenario_1_b,2,1,24000,1.0,0.0,0.9462936316433888,True,25.646742376503887,True,23.283771135805996,wind,True,29.883857090928295
Collision,scenario_1_b,3,3,24000,1.0368799148811834,0.0,-0.8192413384620627,False,,False,,,True,16.50760860484226
Collision,scenario_1_b,4,1,24000,1.0,0.0,0.9462936316433888,True,25.646742376503887,True,23.283771135805996,wind,True,29.883857090928295
Collision,scenario_1_b,5,2,24000,1.0,0.0,0.07716115540774737,True,26.44309016429969,True,28.044025248511026,thunderstorm,False,
Collision,scenario_1_b,6,3,24000,1.0368799148811834,0.0,-0.8192413384620627,False,,False,,,True,16.50760860484226
Collision,scenario_1_c,0,1,24000,1.0,0.0,0.0,True,16.853831051452385,True,25.085111960265195,sea_waves,True,27.33625951840161
Collision,scenario_1_c,1,2,24000,1.0,0.0,-0.17023094512638615,True,24.234783210767347,False,,,True,25.354209956213452
Collision,scenario_1_c,2,1,24000,1.0,0.0,0.0,True,16.853831051452385,True,25.085111960265195,sea_waves,True,27.33625951840161
Collision,scenario_1_c,3,3,24000,1.0,0.0,0.0,False,,False,,,True,22.55758034678732
Collision,scenario_1_c,4,1,24000,1.0,0.0,0.0,True,16.853831051452385,True,25.085111960265195,sea_waves,True,27.33625951840161
Collision,scenario_1_c,5,2,24000,1.0,0.0,-0.17023094512638615,True,24.234783210767347,False,,,True,25.354209956213452
Collision,scenario_1_c,6,3,24000,1.0,0.0,0.0,False,,False,,,True,22.55758034678732
Collision,scenario_2_a,0,1,24000,1.0356435785867069,0.0,0.0,True,20.928950941314433,False,,,True,19.52129043027655
Collision,scenario_2_a,1,2,24000,1.0,-1.9165737639010048,0.0,False,,False,,,False,
Collision,scenario_2_a,2,1,24000,1.0356435785867069,0.0,0.0,True,20.928950941314433,False,,,True,19.52129043027655
Collision,scenario_2_a,3,3,24000,1.0,0.0,0.0,True,19.120105012292388,True,16.112859842599317,rain,True,15.564108683566381
Collision,scenario_2_a,4,1,24000,1.0356435785867069,0.0,0.0,True,20.928950941314433,False,,,True,19.52129043027655
Collision,scenario_2_a,5,2,24000,1.0,-1.9165737639010048,0.0,False,,False,,,False,
Collision,scenario_2_a,6,3,24000,1.0,0.0,0.0,True,19.120105012292388,True,16.112859842599317,rain,True,15.564108683566381
Collision,scenario_2_b,0,1,24000,0.9875346810276694,0.0,0.0,True,24.15893133188724,False,,,False,
Collision,scenario_2_b,1,2,24000,1.0,0.0,0.0,True,27.767490721271685,True,17.404685013680677,engine,True,22.700291068928166
Collision,scenario_2_b,2,1,24000,0.9875346810276694,0.0,0.0,True,24.15893133188724,False,,,False,
Collision,scenario_2_b,3,3,24000,1.0,0.06150292083762432,-0.7128463195074799,True,20.292240594390506,False,,,True,25.023223543794522
Collision,scenario_2_b,4,1,24000,0.9875346810276694,0.0,0.0,True,24.15893133188724,False,,,False,
Collision,scenario_2_b,5,2,24000,1.0,0.0,0.0,True,27.767490721271685,True,17.404685013680677,engine,True,22.700291068928166
Collision,scenario_2_b,6,3,24000,1.0,0.06150292083762432,-0.7128463195074799,True,20.292240594390506,False,,,True,25.023223543794522
Collision,scenario_2_c,0,1,24000,1.0,0.0,0.0,True,19.715781619723224,True,15.388700112962148,wind,True,22.76617911312588
Collision,scenario_2_c,1,2,24000,1.0,0.0,0.0,True,27.770430761296886,False,,,False,
Collision,scenario_2_c,2,1,24000,1.0,0.0,0.0,True,19.715781619723224,True,15.388700112962148,wind,True,22.76617911312588
Collision,scenario_2_c,3,3,24000,0.9645321502309111,0.0,0.0,False,,False,,,False,
Collision,scenario_2_c,4,1,24000,1.0,0.0,0.0,True,19.715781619723224,True,15.388700112962148,wind,True,22.76617911312588
Collision,scenario_2_c,5,2,24000,1.0,0.0,0.0,True,27.770430761296886,False,,,False,
Collision,scenario_2_c,6,3,24000,0.9645321502309111,0.0,0.0,False,,False,,,False,
Collision,scenario_3_a,0,1,24000,1.0,0.0,0.0,True,23.427252977489154,True,16.102976246142628,rain,True,26.466061720608593
Collision,scenario_3_a,1,2,24000,1.098123147512228,0.0,0.0,True,22.645711511262487,True,19.496858471061206,engine,False,
Collision,scenario_3_a,2,1,24000,1.0,0.0,0.0,True,23.427252977489154,True,16.102976246142628,rain,True,26.466061720608593
Collision,scenario_3_a,3,3,24000,1.0,0.0,0.0,True,27.0547879517056,True,17.8839625370507,thunderstorm,True,23.371299762111065
Collision,scenario_3_a,4,1,24000,1.0,0.0,0.0,True,23.427252977489154,True,16.102976246142628,rain,True,26.466061720608593
Collision,scenario_3_a,5,2,24000,1.098123147512228,0.0,0.0,True,22.645711511262487,True,19.496858471061206,engine,False,
Collision,scenario_3_a,6,3,24000,1.0,0.0,0.0,True,27.0547879517056,True,17.8839625370507,thunderstorm,True,23.371299762111065
Collision,scenario_3_b,0,1,24000,1.0,0.0,-0.3257756413404993,True,26.359241253863416,True,28.455641426759627,thunderstorm,False,
Collision,scenario_3_b,1,2,24000,1.0,-1.5271006087841097,0.0,True,28.846590209206756,False,,,False,
Collision,scenario_3_b,2,1,24000,1.0,0.0,-0.3257756413404993,True,26.359241253863416,True,28.455641426759627,thunderstorm,False,
Collision,scenario_3_b,3,3,24000,1.0,0.0,0.0,True,22.65563031049252,False,,,True,22.698717648024623
Collision,scenario_3_b,4,1,24000,1.0,0.0,-0.3257756413404993,True,26.359241253863416,True,28.455641426759627,thunderstorm,False,
Collision,scenario_3_b,5,2,24000,1.0,-1.5271006087841097,0.0,True,28.846590209206756,False,,,False,
Collision,scenario_3_b,6,3,24000,1.0,0.0,0.0,True,22.65563031049252,False,,,True,22.698717648024623
Collision,scenario_3_c,0,1,24000,1.0,0.0,0.0,False,,False,,,True,26.78706893970777
Collision,scenario_3_c,1,2,24000,1.0,-1.7088626865099883,0.0,True,23.38275714408791,True,19.547820384467364,wind,False,
Collision,scenario_3_c,2,1,24000,1.0,0.0,0.0,False,,False,,,True,26.78706893970777
Collision,scenario_3_c,3,3,24000,1.0,0.0,0.5899510287072682,True,23.19819493088681,True,29.854853113197848,thunderstorm,False,
Collision,scenario_3_c,4,1,24000,1.0,0.0,0.0,False,,False,,,True,26.78706893970777
Collision,scenario_3_c,5,2,24000,1.0,-1.7088626865099883,0.0,True,23.38275714408791,True,19.547820384467364,wind,False,
Collision,scenario_3_c,6,3,24000,1.0,0.0,0.5899510287072682,True,23.19819493088681,True,29.854853113197848,thunderstorm,False,
Collision,scenario_4_a,0,1,24000,1.0,-0.2516469886260033,0.0,True,24.207978504321545,False,,,False,
Collision,scenario_4_a,1,2,24000,1.0,-1.9792191105198795,0.0,True,16.53347121169869,True,21.732655155321773,rain,True,21.12066262624706
Collision,scenario_4_a,2,1,24000,1.0,-0.2516469886260033,0.0,True,24.207978504321545,False,,,False,
Collision,scenario_4_a,3,3,24000,1.0,0.0,0.0,True,26.729615544053647,True,27.247417731493698,thunderstorm,True,16.70831735417997
Collision,scenario_4_a,4,1,24000,1.0,-0.2516469886260033,0.0,True,24.207978504321545,False,,,False,
Collision,scenario_4_a,5,2,24000,1.0,-1.9792191105198795,0.0,True,16.53347121169869,True,21.732655155321773,rain,True,21.12066262624706
Collision,scenario_4_a,6,3,24000,1.0,0.0,0.0,True,26.729615544053647,True,27.247417731493698,thunderstorm,True,16.70831735417997
Collision,scenario_4_b,0,1,24000,1.0,0.0,0.0,True,25.103832934721,False,,,False,
Collision,scenario_4_b,1,2,24000,0.9333731047654779,0.0,0.6839704282730961,True,20.385587582570533,True,17.92692737451374,engine,True,23.423731160026566
Collision,scenario_4_b,2,1,24000,1.0,0.0,0.0,True,25.103832934721,False,,,False,
Collision,scenario_4_b,3,3,24000,1.0,-1.4430601362928956,-0.586114558496468,True,22.984211960556173,False,,,True,29.685002346044826
Collision,scenario_4_b,4,1,24000,1.0,0.0,0.0,True,25.103832934721,False,,,False,
Collision,scenario_4_b,5,2,24000,0.9333731047654779,0.0,0.6839704282730961,True,20.385587582570533,True,17.92692737451374,engine,True,23.423731160026566
Collision,scenario_4_b,6,3,24000,1.0,-1.4430601362928956,-0.586114558496468,True,22.984211960556173,False,,,True,29.685002346044826
Collision,scenario_4_c,0,1,24000,1.0,0.0,0.0,False,,False,,,True,25.15705616878566
Collision,scenario_4_c,1,2,24000,1.0,0.40399624705338066,0.0,True,25.357141125219805,False,,,True,19.52474000365798
Collision,scenario_4_c,2,1,24000,1.0,0.0,0.0,False,,False,,,True,25.15705616878566
Collision,scenario_4_c,3,3,24000,1.0,0.7947035264219653,0.0,False,,True,28.86941631523709,wind,True,24.184451916310834
Collision,scenario_4_c,4,1,24000,1.0,0.0,0.0,False,,False,,,True,25.15705616878566
Collision,scenario_4_c,5,2,24000,1.0,0.40399624705338066,0.0,True,25.357141125219805,False,,,True,19.52474000365798
Collision,scenario_4_c,6,3,24000,1.0,0.7947035264219653,0.0,False,,True,28.86941631523709,wind,True,24.184451916310834
Collision,scenario_5_a,0,1,24000,1.0324887856307898,-0.8332959037723859,0.0,False,,True,19.893773531696688,wind,True,18.50416839957469
Collision,scenario_5_a,1,2,24000,1.0,-0.804637156123913,0.0,True,21.06588339670762,True,23.25181338003121,sea_waves,True,16.528610229927683
Collision,scenario_5_a,2,1,24000,1.0324887856307898,-0.8332959037723859,0.0,False,,True,19.893773531696688,wind,True,18.50416839957469
Collision,scenario_5_a,3,3,24000,1.0,0.0,0.0,True,20.16051179684814,False,,,True,19.056535271534607
Collision,scenario_5_a,4,1,24000,1.0324887856307898,-0.8332959037723859,0.0,False,,True,19.893773531696688,wind,True,18.50416839957469
