id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.259,1.00,1.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,geometry;agency,,0,geometry_outside_baltic;unsupported_fact,25.884,
02_navtex_en_exercise_polygon,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,event_type;warning_id;issued_at;valid_from;valid_to;geometry;location_name;agency,0,schema_invalid,36.973,
03_navtex_en_corrupted_stars,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,event_type;location_name;agency;entities,0,schema_invalid,36.030,
04_bhmw_pl_cable_works,1,0.412,1.00,0.00,0.00,1.00,1.00,0.00,0.71,0.00,0.00,warning_id;geometry;location_name;agency;entities,,0,geometry_outside_baltic;unsupported_fact,27.797,
05_bhmw_pl_wreck,1,0.194,0.00,0.00,0.00,0.00,0.00,0.00,0.75,1.00,0.00,warning_id;issued_at;geometry,,0,geometry_outside_baltic;unsupported_fact,29.553,
06_vhf_pl_voice_report,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,event_type;geometry;location_name;agency;entities,0,schema_invalid,37.561,
07_vhf_en_voice_report,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,event_type;geometry;agency;entities,0,schema_invalid,29.188,
08_navtex_en_gale_warning,1,0.111,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,warning_id;agency;entities,,1,geometry_outside_baltic;unsupported_fact,29.930,
09_navtex_en_fldigi_garbled,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,event_type;warning_id;issued_at;location_name;agency,0,schema_invalid,39.620,
10_bhmw_pl_prompt_injection,1,0.194,0.00,0.00,0.00,0.00,0.00,0.00,0.75,1.00,0.00,warning_id;issued_at;valid_from;valid_to;geometry,,0,geometry_outside_baltic;unsupported_fact,30.315,
